noise_pct,mean_mape,std_mape,min_mape,max_mape
0,13.95,0.0,13.95,13.95
5,14.57,0.01,14.56,14.58
10,16.27,0.01,16.25,16.29
15,18.96,0.03,18.91,19.0
20,22.54,0.05,22.44,22.6
